username,tweet_text
Ian Saltern 〓〓@IanSaltern·4h,"Keslowena! ⁦@Cornwall_Museum⁩

Royal Cornwall Museum gets £476k grant from Truro Town Deal - BBC News"
Dàibhidh @DaibhidhP65·56m,"Has the COVID inquiry had #BorisJohnsonsphone passed to yet? If not, why are MSM not all over this?
@BBCNews @ITVNewsPolitics
@Channel4News"
"Prof David Evans, OBE@David_T_Evans·20h","Dear @BBCNews Enough of the total coverage of someone who cannot be named, who may or may not have done anything illegal. Stop dancing to #Murdoch & #TheScum's tunes. Give us real news! Let's #GetJohnsonDone"
Concerned Citizen@cotupacs·4h,"Jeremy Vine needs to apologise for his aggressive divisive and at times hateful broadcasting, which is now clearly scientifically incorrect around vaccines.

Why can’t anyone who promoted these things ever admit they were wrong in doing so?

You all talk about getting trust back… Show more"
CMS48  #sonhs@CMS481·Jul 10,As a public broadcaster @BBCNews is an utterjoke. They are world leading propagandists for the westminster establishment.
𝕸𝖆𝖌𝖌𝖎𝖊  #RISHIOUTNOW@Ohmaggie2023·4h,Could someone explain to me why no reporters on his doorstep asking him questions. If this was a Conservative MP they would be camping out in the street. @BBCNews @GBNEWS @itvnews @TalkTV @Channel4News @Channel5Press double standards if you ask me. #bbcpresenter #BBCScandal
Celebruhties@celebruhties·22h,"We noticed that a BBC presenter was missing from his usual show last night, which got us wondering, Where's Huw Edwards? 

#HuwEdwards #bbcpresenter #bbcnews #bbc #BBCscandal #BBCPresenterScandal #followus #followback"
Sir Lancelot@foxmulder1969·Jul 9,Here's @BBCNews labelling anti ULEZ protesters as far right conspiracy theorists. odd how they rush to judgement on those who oppose their prescribed world view yet when one their own stands accused they circle the wagons like a cult.
Stephen Reed #ifitsnottruesue@Stephen08920863·Jul 11,"#TRUECRIMEDIARY

Even @TheSun are not dim to not verify evidence on @BBCNews #bbcpresenter 

Evidence against #PAULSTANLEY of @BegbiesTrnGroup is irrefutable #moneylaundering for #rapist #OWENOYSTON a #pedohile & #sex beast & on @insolvencygovuk rota!

#ifitsnottruesue @BfcDale"
Steve@CooperS111s·6h,"The bloody @BBCNews #bbc peed me off during Brexit, they blatantly tried to reverse the referendum, they are funded by me and you and should be politically neutral #JeremyVine"
Fighting The Loan Charge Scandal@jimclark1936·Jul 9,"We have to live with FEAR, DESPAIR, SELF LOATHING, REGRET, ANGER, ANXIETY, DEPRESSION & SUICIDE everyday. When will you resolve this? @RishiSunak @MariaMillerUK #LoanChargeScandal  No wonder there’s been 10 #LoanChargeSuicides @BBCPolitics @BBCNews @SkyNews @SkyNewsPolitics"
Lola G.@LolaGanzarolli·Jul 11,"Would probably get worse if Labour got in @Keir_Starmer wanted harder lockdowns, mandatory covid jabs & recently said @BBCNews that he prefers Davos to Westminster, so what right has he got to lead  when his loyalties clearly are with @wef billionaires agendas?  #hypocrisy "
Liam@smallishbadger·17h,"Dont you think the BBC always overcompensates ‘impartiality’ at times like these? They seem to go tougher and more full-spectrum when it’s one of their own and I don’t think they’ve ever quite gotten the balance right, news-wise."
Eleanor Smallwood@eleanorvks·Jul 10,All-woman #BBCNews team with @BBCRajiniV as we await President Biden’s arrival
Kev@kev1n1985·Jul 10,"The Sun newspaper lying? Shocked, shocked I tell ya. 

Damage to many innocent people already done  

BBC News - BBC: Claims about presenter 'rubbish' - young person's lawyer"
Peter Stefanovic@PeterStefanovi2·Jul 8,"I’m sure the Sunday morning politics shows will be all over the Prime Minister’s rampant misleading of Parliament in the morning..

@SkyNews @SophyRidgeSky @BBCNews @bbclaurak"
Fórcola@Frcola1·Jul 10,"The BBC has all but admitted that they knowingly & intentionally set out to cause untold unjustifiable damage to the reputation of Nicola Sturgeon & Peter Murrell by the their coverage of the case before any formal charges emerge

The #BBCNews has a lot of questions to answer"
Harvey Black@Black_Author·Jul 10,"Where are you @BBCNews @Channel4News @itvnews @SkyNews  ?? The Media should be covering this, the biggest scandal in the UK. The MSM feather their own nest, rather than speak out for the British Public! @LeeAndersonMP_"
Oddball @CaptDrimmie·Jul 11,BBC News: ‘low pay is bad’. Also BBC News: ‘pay rises are bad’…
Peet Tetteroo@pettet50·4m,"BBC News - Sir Salman Rushdie says he has 'crazy dreams' about attack in New York

It is #freedomofpress only

https://bbc.co.uk/news/entertainment-arts-66170792… @enilev @baski_LA @CurieuxExplorer @VanberghenEU @ajboekestijn @MargaretSiegien @edwinhayward @Nigelj08223326 @gpnp_nic @Shi4Tech @FrRonconi… Show more"
Edna Krabapple  #SafeEdForAll@EdnaKrabapple1·Jul 10,Why is this not the lead story tonight @BBCNews?
Maddest Ma@MaddestMa·Jul 10,"WHY is the Sun vs BBC presenter vendetta soaking up all the broadcasting space on BBC news atm?  

Loads of MPs seem to have done far worse. 

Not to mention Sun’s scurrilous history. 

Which dead-cat is the money on?

Where’s proper news gone?"
Bengali Hindu @BeerBangali·Jul 9,"According to BBC news, Our Father of Nation Sheikh Mujibur Rahman is the greatest Bengali of all time . But BBC may not know that Bangabandhu's  ancestors came from,Baghdad  Iraq and his ancestors never spoke Bengali. But he is the greatest Bengali."
Stokie'73 @potter2207·Jul 9,"Imagine if it were a Tory MP.
@BBCNews @bbclaurak & the likes of @GaryLineker @adilray etc would be slavering over it like rabid dogs."
RocklandsTV@rocklandstv·6h,"""Music is the glue that binds London together""
- Beverley Whitrick @musicvenuetrust)

""More than 1m attend live music events in one week""
- @BBCNews 

""Support grassroot venues""
- Sadiq Khan @MayorofLondon
https://bbc.co.uk/news/uk-england-london-66171206… #musictourism is an essential, nationwide!"
Ian Beach@ianbeach2·1h,"Jeremy Vine claims his wife begs him to wear a disguise
It’s Huw why the ridiculous silence ?? ⁦@TalkTV⁩ ⁦@BBCBreaking⁩ ⁦@BBCNews⁩ ⁦@GBNEWS⁩"
Martin@Mart12066536·Jul 9,⁦@BBCNews⁩ #DefundTheBBC the shouldn’t be getting public funds. It’s full of peados and perverts. Let it fund its self ⁦@RishiSunak⁩
Roderick Spode@RoderickSpode3·Jul 11,.@BBCNews This sounds very familiar. Don't forget to pay your license fee as it's obviously money well spent.
Rod Bishop @rodbishop15·21h,Out of a 28 minute programme the @BBCNews spent 11minutes papering over the cracks ( no pun intended) of their own making. We pay a licence fee for real news. Not this tripe. #bbcpresenter #BBCPresenterScandal #BBCscandal
Bryan Evans @ceirwcoch·7h," for 5 days. Where is his phone? What is being done to retrieve it and the WhatsApp messages? Why isn't this front page news and a Top Story on the BBC?
#BorisJohnsonphone
BBC News - Government loses court battle over Boris Johnson's Covid WhatsApps"
Cyber Huntss@Cyber_Huntss·Jul 10·,"This is what @BBCWorld @BBCNews do to underage girls. Buying nudes from a girl who was merely 15 year old?? Do you have some shame  @BBCWorld 

This should be breaking news in all india and on every news channel that @BBCWorld employees buy girls nude photos paying hefty amount.… Show more"
Fórcola@Frcola1·Jul 9,"The #BBCNews falling over themselves to explain away why they’re not naming the person suspended from the BBC

A smorgasbord of justifications including defamation & right to privacy, things they wholeheartedly ignored when it came to Peter Murrell & Nicola Sturgeon. Corrupt BBC"
Ángela Tenerife ProEU@AngelaCahill17·Jul 10,"The presenter story may turn out to be a non story. 
Meanwhile, it seems to have distracted the #bbcnews from reporting  #johnson #CovidInquiry #mobilephone #WhatsApp"
Marion Main@marionmain3·Jul 9,"BBC News - Urgent talks over BBC presenter allegations
https://bbc.co.uk/news/entertainment-arts-66147003…

Wonder if they will also discuss the Tory MP alleged rapist who has yet to be named, tho we know who it is, who has been bailed 4 times and to my knowledge still has the whip"
Moriarty@MoriartyProfJ23·17h,I was abused by the @BBCNews presenter for a couple of years when he lied about covid on the TV each night. My mum is going to contact @TheSun and sell my story. What a bummer
Plastic free NW Leeds @PFreeNWLeeds·23h,Perhaps teach your kids NOT to eat random wild plants including foxgloves and daffodils. We have hog weed near us at the river and I educated my kids not to touch it. We need the plants they create biodiversity. ⁦@BBCNews⁩ this article is not helpful
"Liarpoliticians, UK has rogue Parliament+police@liarsinc2·7h","Nice of @NickyAACampbell to excuse mystery BBC presenter by saying  most the accusations ""are not on @BBC property"" [sic] ie. breaking covid lockdown. So the abuse by BBC paedophile Sir Jimmy Savile was okay because he did it in hospitals he worked in not BBC sites? #BBCNews"
Roger Harrabin@RHarrabin·Jul 10,Analysis shows yet more record temperatures . @WMO says it’s very concerned. Especially over the completely unexpected ocean heating. Report is currently not running on @BBCNews at all and story nine on TheTimes. Sex pictures are much more compelling. What will our kids say?
Fórcola@Frcola1·Jul 11,"Sadly @lizo_mzimba talking absolute nonsense on #BBCNews about the BBC News acting without fear or favour treating everyone the same regardless of where the story is.

Lizo, go look at mine and @msm_monitor’s comparisons with how the BBC has treated the SNP and Nicola Sturgeon."
Frnki@frankkilopezzz·Jul 10,Why is the stabbing of a teacher not the main headline on today’s 6pm news? @BBCNews I don’t want to hear about some allegation which now might not even been true.
Harvey Black@Black_Author·18h,"Where are you
@BBCNews
@Channel4News
@itvnews
@SkyNews
?? The Media should be covering this, the biggest scandal in the UK. The MSM feather their own nest, rather than speak out for the British Public! 
@LeeAndersonMP_ @SuellaBraverman @RishiSunak @Conservatives"
Zhao Hui@sifuzhaohui·5h,"Protest Organised by ZoRO Against the Ethnic Cleansing of Kuki-Hmar-Zomi-Mizo People.
#ManipurViolence #SeparateAdministrationOnlySolution @AmitShah @narendramodi @ashoswai @NBirenSingh @ZoramthangaCM @FoxNews @HindustanTimes @IndianExpress
https://twitter.com/valte_min/status/1679052806316232704?t=0fWLSC3z8JVG1BSfZj56fw&s=19…

*RETWEET*"
London-Born Swiss Celt - LOVES Tree Huggers@GetExBritDone·2h,"#BorisJohnsonsphone
#BorisJohnsonsphone
#BorisJohnsonsphone
#BorisJohnsonsphone
#BorisJohnsonsphone
#BorisJohnsonsphone 

That's it; that's the Tweet.

Where the fuck is it?

@SkyNews @BBCNews @guardian @itn @Channel4News  Why are you not asking?"
BBC News (UK)@BBCNews·Jul 11,New allegations against BBC presenter at centre of explicit photo row https://bbc.in/3Y1Jhzb
Bill Devizes@BillDevizes·8h,Zionism in action. Proudly sponsored ‘without qualification’ by @Keir_Starmer and his accomplices @UKLabour while @BBCNews and @itvnews turn a blind eye
Global Center for Species Survival@ProtectSpecies·12m,"Critically Endangered freshwater mussels in Cumbria are reproducing for the first time in 13 years. Scientists working with the mussels say it is ""thrilling and heartening."" Read more from @BBCNews. https://bbc.com/news/uk-england-cumbria-65809650… #FantasticFreshwater @FW_Conservation"
,
Imran (FREE IMRAN RIAZ KHAN )@imran_PTI3·Jul 10,"#FreeImranRiaz
#ReleaseImranRiazKhan 

FREE IMRAN RIAZ KHAN 
FREE IMRAN RIAZ KHAN 

WE STAND WITH IMRAN RIAZ KHAN 

WE STAND WITH IMRAN RIAZ KHAN 

WE STAND WITH IMRAN RIAZ KHAN 



@BBCNews
@BBCWorld
@cnni
@UNHumanRights
@amnestysasia"
Imran (FREE IMRAN RIAZ KHAN )@imran_PTI3·17h,"#FreeImranRiaz
#ReleaseImranRiazKhan 

FREE IMRAN RIAZ KHAN 
FREE IMRAN RIAZ KHAN 
FREE IMRAN RIAZ KHAN 

ENOUGH IS ENOUGH!!!



@BBCBreaking
@BBCNews
@BBCWorld
@amnestysasia
@UNHumanRights
@SkyNews
@cnni
@UN_HRC
@AJEnglish"
Lil@LilChrisMcIrish·2h,Blood pressure patients given brain stimulation https://bbc.co.uk/news/uk-england-bristol-66098878?ns_mchannel=social&ns_source=twitter&ns_campaign=bbc_live&ns_linkname=66098878%26Blood%20pressure%20patients%20given%20brain%20stimulation%262023-07-12T05%3A22%3A12.000Z&ns_fee=0&pinned_post_locator=urn:bbc:cps:curie:asset:9fddf7dd-778c-4c67-8ba5-92c548cdf990&pinned_post_asset_id=66098878&pinned_post_type=share… via @BBCNews
Lil@LilChrisMcIrish·2h,Concern over focus on skin colour in newborn checks https://bbc.co.uk/news/health-66122394?ns_mchannel=social&ns_source=twitter&ns_campaign=bbc_live&ns_linkname=66122394%26Concern%20over%20focus%20on%20skin%20colour%20in%20newborn%20checks%262023-07-11T23%3A10%3A05.000Z&ns_fee=0&pinned_post_locator=urn:bbc:cps:curie:asset:43492e6c-fa5b-4f5f-90eb-9b75d81be312&pinned_post_asset_id=66122394&pinned_post_type=share… via @BBCNews
Cathie Stevens@Cath666999·Jul 11,Has Johnson handed his phone in yet? Has anyone informed the Police if he hasn't?
Vintagebobt@bobstackle·Jul 9,"If you are going to wheel out a lawyer on the news to inform everyone why the BBC cannot name the individual, please remember next time to ask the lawyer why the BBC named and hounded Sir Cliff.? @BBCNews @CliveMyrieBBC"
NeverVotedToryMDANT  @alikat54·21h,Am I the only person  in Britain absolutely sick of the hysterical prieient coverage of the #BBCPresenterScandal ? Any chance of decent reporting on real issues like #BorisJohnsonphone #mortgages #Foodbanks #sewageScandal #ToryCorruption @SkyNews @BBCNews
Andrew Fisher@FisherAndrew79·Jul 11,"""Record wage growth fuels fresh inflation fears""
or
""Wages rising more slowly than inflation""

Please do better @BBCNews. We're in a period of record falling real wages."
HousePriceMania@HousePriceMania·Jul 11,"No comments allowed

@BBCNews dont seem to have a savers being robbed via inflation/low interest rates story."
Adapt Law@AdaptLaw·8h,"Dear @BBCNews 
We all get that you have to report the presenter shambles.  But it is not headline news. It never was.

Catastrophic global weather events
Suspension of Post Office enquiry
The running sore of Johnson's WhatsApp messages
Ukraine war 500 days

There's some headlines"
David Wild@wildnoe·2h,Oh dear Reccy hiding your head in the sand isn’t a good look!
SuperBabadook64@SBabadook64·9h,"Can anyone explain why this has not been mentioned by @BBCNews, @guardian or @Channel4News?

Is the fascist takeover now complete?"
Lakota Di @LakotaDi·23h,Here is an article in UK regional paper Manchester Evening News 11 July issue on Alice Cooper buying a t-shirt for Johnny. There was a video of the visit on BBC News yesterday.
Petra #TeamBoris  BREXIT@Petra13941582·Jul 9,"Starting to look like this is the culture of the ⁦@BBCNews⁩ how many is that now? Tv license tax are paying for this! #DefundtheBBC

Urgent talks over BBC presenter allegations - BBC News"
Lil@LilChrisMcIrish·3h,Clean-up after 400-tonne landslide hits road https://bbc.co.uk/news/uk-scotland-highlands-islands-66173636?ns_mchannel=social&ns_source=twitter&ns_campaign=bbc_live&ns_linkname=66173636%26Clean-up%20after%20400-tonne%20landslide%20hits%20road%262023-07-12T12%3A13%3A29.000Z&ns_fee=0&pinned_post_locator=urn:bbc:cps:curie:asset:6c6c200c-b2d0-4037-84ac-0300aed6ad0f&pinned_post_asset_id=66173636&pinned_post_type=share… via @BBCNews
"Fella in Bury, UK #Bury@EverythingBury·Jul 10",There is NO way it is @PaddyMcGuinness. All the talk about his conduct at Horwich Leisure Centre and the Water Place in Bolton is utter rubbish too. Patrick is NOT the predator folks will have u believe! Leave him alone @OfficialBWFC @TheBoltonNews @BBCNews @TheSun #BBCscandal
GB News Spin Room (Parody)@GBNewsSpin·Jul 11,"GB News stalwart Mark Dolan bags lowest Monday ratings in 2 months
Lowest Monday prime time in more than a month 

Sky News watched by 28% more on avg

BBC News Ch watched by 64% more on avg

GBN reached just 1.2% of UK pop

Sky News reached 2.1x & BBC 2.5x more"
Lynne - but i am not on instagram! @BebsDotter·Jul 11,"Dear @BBCNews 
Are you aware that:
“Common sense economics and detailed econometric study tells us that it is a myth that public sector pay increases will fuel private sector wage growth and, in turn, fuel inflation.”

ASCL"
Marion Main@marionmain3·Jul 10,"Wow, this ""child"" is now 20. If this is true, the Sun went ahead and published a story completely against his or her wishes and which they deny vehemently 

BBC News - BBC: Claims about presenter 'rubbish' - young person's lawyer"
David Yelland@davidyelland·Jul 11,Extraordinary new development means BBC news division now competing with The Sun to break stories on own presenter. Yet we have no allegation of illegality.
Peter Duncan @peteduncan·Jul 11,Where is this #bbcnews?
Ken Chisholm@tighabhinn·22h,"BBC & Sky so pleased to shout from the rooftops about Carrie Johnson's new baby but ZERO, NOUGHT, NOTHING, NIL  about Liar Johnson's defiance to the COURT ORDERING him to surrender his phone to the Covid Inquiry. #BBCNews #SkyNews @BBCNews @SkyNews"
David Wilcock@DavidTWilcock·Jul 11,Tremendously meta broadcasting as Sky News shows a live feed of BBC News channel showing a live feed of BBC Radio 4 interview with BBC DG
THE BLACK SALTIRE#FBSI@80_mcswan·6h,"90% of the BBC news over the past 24 hrs has been about the BBC Scandal presenter story 
Meanwhile the Tory Government’s stripping back on human rights is being ignored 
Let’s have more reporting on this issue that effects us all!"
John Marsham@JohnMarsham·Jul 11,"More shocking ""false balance"" on climate from @BBCnews. Just state the facts on how the Arctic is warming faster than the global average rate, and is expected to continue to (""Arctic amplification""). Not ""Some experts say"""
Stealth David @StealthDavid·Jul 11,"I love how rich people can hide their identity when suspected of a crime, but if you're poor, you will be named in every newspaper  and assumed guilty 
#bbcpresenter #BBCPresenterScandal #bbcnews"
My Name@mikey9t8t3·Jul 9,Clive Myrie relieved to be doing the news this evening. That's him off the speculation list. #bbcnews #BBCPresenter
Scarred for Life@ScarredForLife2·6h,"Threads, the big rival to Twitter, got traumatised Brits of a certain age talking about its nuclear war-themed namesake last week. We were interviewed by the BBC's Tim Dale about the enduring legacy of what is still the scariest film I've ever seen:"
Timothy Garton Ash@fromTGA·Jul 10,"At 1900 BST I turn to a @bbcnews TV programme called the Daily Global for, well, global news, and get 20 minutes about …the @BBC…a  tabloid story about one of its presenters. Future of NATO, Ukraine & Sweden only appears briefly after abt 23 minutes. News values?? Pathetic.  A… Show more"
OSINT Updates @OsintUpdates·Jul 9," My reply to @BBCNews is exactly the same as Hon'ble PM @narendramodi ji gave to them. 

Don't try to preach us reporting..."
Steven Barnett@stevenjbarnett·18h,"So tonight @BBCNews spends 13 minutes - nearly half its main 10 pm bulletin - indulging the Sun's commercial agenda by devouring itself. Yes it's a story, yes it raises issues that need reporting. But this obsessive coverage is self-indulgent, self-defeating nonsense."
Hugh Edwards@HughEdw31897368·22h,"This sordid soap opera continues. The BBC is in a complete and utter mess. Radical change is required at the top of the organisation.

#bbcnews #bbcpresenter"
Shropshire Green Man@WhittallClive·7h,"The Nicola Bulley & Philip Scofield stories & now the #BBCPresenterScandal have dominated our media at the expense of other news. When will the media ask viewers what they want to hear about, instead of pushing their own news agendas? 
@SkyNews @BBCNews @Channel4News @itvnews"
Robert Macintyre@RobertTyreBute·Jul 11,Being ignored by news broadcasters. @bbcnews @bbcscotlandnews @skynews #bbcgms #r4today #skynews #kayburley 
Robert Macintyre@RobertTyreBute·Jul 11,Being ignored by news broadcasters. @bbcnews @bbcscotlandnews @skynews #bbcgms #r4today #skynews #kayburley 
Rahim™ @rahim94·18h,"Just imagine if Huw Edwards is simply on a holiday and next week he makes a grand return to BBC News
#BBCPresenterScandal"
Jack White #SlavaUkraini #FBPE #REJOINNow #NAFO@WriterJackWhite·22h,Zero coverage @BBCNews about Johnson breaking legal deadline over whatsapps but lots on baby Frank @itvnews @SkyNews
Mark Whitford @whitford747·Jul 10,"Some other BBC scandals;
Savile, Bashir, Hall, Bacon, Richard, Harris, Bough, Brand, and Ross.
Time for a different funding model.
@mariannaspring
@BBCNews
@BBCNewsnight"
Danny Baker@prodnose·18h,"I once had a morning radio show on GLR. I would do 6 till 9am then hand over to Chris Morris.
My show was pretty good. His was pretty goodier. This will never happen again."
James Woodfield@JamesWoodfield·Jul 10,"Quelle surprise.. Hoyle did not select an amendment which sought to refer the offenders back to the Privileges Committee to decide if their conduct amounted to contempt.

So.. a Speaker & a PM who are both too weak, timid & beholden to do the right thing."
Taru@tarzan_uk·Jul 10,"Why this is not leading your  @BBCNews
@SkyNews
@itvnews 

You are disgrace. 

If something screams guilty, it's this.

Boris Johnson fails to hand over mobile with Covid WhatsApps before inquiry deadline"
Diarmaid Mac Aonghusa@diarmaidm·23h,"Hats off to @BBCNews  for managing to get a picture of JP2's visit to Ireland in 1979 into a story about Ryan Tubridy, just a pity they couldn't have got in one of nuns voting.

#RTEgate
https://bbc.com/news/entertainment-arts-66152982…"
ZZ@rooftopdennis·Jul 11,"Still no coverage of junior doctors grmt with @scotgov on @BBCNews !!!!!!!!!!
WHAT
ARE WE 
PAYING FOR-
ENGLISH NEWS??"
Stephen Reed #ifitsnottruesue@Stephen08920863·Jul 10,"#TRUECRIMEDIARY
#bbcnews when I gave you my story on @BegbiesTrnGroup assisting a #pedophile & convicted #rapist #OWENOYSTON 

I never expected a #coverup of #sex #fiends of epic proportions.

#ifitsnottruesue @BfcDale @BBCNews @itvnews @ukhomeoffice @ICAEW @HMRCgovuk @TheFCA"
THC - BogDaSpliffHog@DaveyLad9·3h,Working from home
Voice of Me@VoiceofMe8·Jul 11,"@BBCNews this boat full of illegal male migrants admitted they want to send money home. They don't want to work hard on their own land to build their country, just pillage Europe & England. 
#invasion #migrants
#ILLEGALimmigrants"
Noah V@NoahV94242580·Jul 10,"This is why it is all happening, they no play games but with piwer defaming #Sikhs #Punjab #Khalistani @T2200Time1 @CBCNews @BBCNews @GurpreetSSahota @KaurUdhoke @AhmadHassanArbi @thind_akashdeep"
Stephen Reed #ifitsnottruesue@Stephen08920863·Jul 10,"#TRUECRIMEDIARY

The @BBCNews & @BegbiesTrnGroup are done as sources of truth covering up for @pedophiles & clients #PAULSTANLEY #moneylaundering & enabling #convicted rapist #OWENOYSTON
#ifitsnottruesue @BfcDale @ukhomeoffice @BBCWorld @HSBC_UK @ICAEW @NCA_UK @ajbell @CroweUK"
Sally-Anna King - Misinformation reporter@sallyanna25·Jul 9,"If a presenter on @GBNEWS was a nonce they'd be instantly sacked and reported to the police,  and @BBCNews would actually name them."
94@94panicattack·Jul 9,"What BBC presenters have been axed recently? #bbcpresenter
#BBCnonce #BBCnews"
Fire Brigades Union@fbunational·23h,"Last summer, firefighters did everything they could to battle wildfires in London with stretched resources.

But while the fires destroyed homes, 39 fire engines were unavailable due to cuts to crews.

@MattWrack on the review of this major incident on @BBCNews yesterday"
Mark The Scottish Muso   @electrobuddha1·Jul 10,"If you're still paying the #tvlicence in Scotland, you are confirming you are willing to endorse British state propaganda! Cancel it NOW! @BBCNews #ScottishIndependence #BBCscandal"
Johnny@AbdnAlba·Jul 10,"Nicola Sturgeon and the @SNP were never given the same level of protection as the #BBCPresenter 
#bbcbreakfast #BBCscandal #bbcnews"
Stuzi @stuzi_pants·Jul 9,"Breaking News  

BBC release statement advising that they’ve suspended the presenter alleged to have paid for explicit photos of a 17 year old 

Nothing on BBC News though which is very strange given their history of giving extensive coverage to high profile suspensions "
BBC News (World)@BBCWorld·22h,Nato allies refuse to give Ukraine timeframe on joining
Q@quentinbudworth·Jul 11,"Interesting, no mention of Boris Johnson withholding phone from Covid enquiry after the 4pm deadline yesterday or him being in contempt of court on Radio 4. #r4today #bbcnews #BBCscandal #bbcpresenter"
Hacked Off@hackinginquiry·Jul 10,"If this is true, @TheSun have questions of their own to answer. On what basis was their story published? Who signed it off?
If this is true and the claims are ""rubbish"", will @TheSun apologise to the @BBCNews ?"
WEF Governments are out of control@YeahAboutThis·Jul 11,"Didn't 7 banks refuse to open an account for Farage after Coutts Bank closed his account.  Also, the banks closed the accounts of some of his family members. The excuse of Farage not having enough money to bank at Coutts doesn't account for why other banks refused him an account"
Imran (FREE IMRAN RIAZ KHAN )@imran_PTI3·21h,"#FreeImranRiaz
#FreeImranRiaz 

WE STAND WITH IMRAN RIAZ KHAN 

WE STAND WITH IMRAN RIAZ KHAN 

WE STAND WITH IMRAN RIAZ 
KHAN 



@BBCWorld
@BBCNews
@cnni
@UNHumanRights
@amnestysasia
@SkyNews
@AJEnglish
#ReleaseImranRiazKhan
#ReleaseImranRiazKhan"
Tim Clapham@AnnoyedofBexhil·Jul 11,#BBCNews still not a single word about #Johnson being in contempt of court? Can't think why. Nothing to do with Tory moles controlling stories.
SalP @SalPSpecial·Jul 9,"I am absolutely not speculating who the #bbcpresenter is. But (lawyers correct me if I'm wrong) surely asking someone to perform a sex act for money, even on line, is soliciting? And if so why haven't @BBCNews handed the matter over to the police? This is more than an HR matter."
Tony Cuomo-Welsh Bobsleigh Team 2007 runners up@tony_como·2h,"Jeremy Vine, urging his “mystery” colleague to fall on his sword for the good of the BBC, has realised that the large fan that the shit has come into contact with, has a mighty big arc....Potential salary cuts and sackings in the offing  @BBCNews @DefundBBC"
"Liarpoliticians, UK has rogue Parliament+police@liarsinc2·Jul 10","The @BBC @BBCNews still pushing the LIE of ""record breaking global temperatures"". Got to appease their Nazi bosses that control the BBC (you that pay for it aren't the boss unless you defund the BBC). #BBCNews #ClimateChange #NetZero #DefundtheBBC"
AVQG @QUEPONmalaga·Jul 11,"HORRIFIC CHILDREN BEING TRAFFICKED LONDON U.K.
There’s a story for you @BBCNews 
PRIME MINISTER What do you have to say ?
@georgegalloway @JamesMelville @ColinBrazierTV
@afneil @Effiedeans @DouglasKMurray @Iromg"
Gordon McIntosh  #FBPE  @Gordy_Mc1ntosh·Jul 11,"Just checked the @BBCNews app to see what they were saying about @BorisJohnson failing to hand over his mobile phone.
Oddly the Story seems to be absent."
Trevor@torkingt1·40m,Looking at the women’s cricket page on ⁦@BBCNews⁩ app you wouldn’t know the England Women were playing Australia in an ODI.
Matthew Todd @MrMatthewTodd·Jul 10,The media are putting us in immense danger by not putting this at the top of their agenda. Editors should be fired and we should start again. @bbcnews @itvnews @skynews @thetimes @DailyMailUK @TheSun @BBCr4today @BBCNewsnight are failing
Paul Butler@PolDeBuitleir·Jul 8,BBC News - Cluster bombs: Unease grows over US sending cluster bombs to Ukraine
GB News@GBNEWS·10h,"'Tim Davie hasn't fully grasped the full importance of this.'

Former BBC News Producer, David Keighley, says the BBC 'needs to get its act together' as fresh allegations are made against a suspended BBC star."
BabylossMummy@babylossmummy·Jul 11,An amazing interview this morning on @BBCNews from @Sajhawkins1 @jackhawkski on the #nottingham maternity scandal. 1700 families to now to be included   look at beautiful Lottie sitting on the big read sofa #bbc #maternity #bbcnews
lynne pardoe@LPsocialwork·6h,I totally agree #bbcpresenter #BBCPresenterScandal #bbcnews #BBCscandal
Robert Martin@RobertHM75·Jul 10,"Hopefully @TheSun can go the way of The News of the World. #GutterPress #MurdochGutterMedia
#bbcpresenter
BBC News - BBC: Claims about presenter 'rubbish' - young person's lawyer"
TiCL@TiCLme·10h,"Genuine question …

Has there been any reference to this story anywhere on @BBC ?

#Wimbledon2023 @BBCSport @BBCNews @BBCRadio4 @BBCEngland @BBCBreakfast @BBCWomansHour @BBCPolitics @BBCEarth ?"
chez #cedaw #backto60 #50swomen #ADRnow@cheryl_english·Jul 11,This #50swomen is a bit peed off today I see 'celebrities' my peers turning & looking the other way don't want to admit their ages shame on them they know who they are @SkyNews @BBCNews  when they could be holding @HouseofCommons  to account
Stephen Reed #ifitsnottruesue@Stephen08920863·Jul 11,"#TRUECRIMEDIARY

Are the @BBCNews #bbcpresenter as culpable as the perpetrators when they cover up or enable #nonces & #rapists ?

@BegbiesTrnGroup have covered up their criminality involving #pedophile #OWENOYSTON.

#ifitsnottruesue @BfcDale @ukhomeoffice @ajbell @LSEplc @ICAEW"
derek branning's shiny pursed lips@realseanslater·18h,Practically confirms it then if hes not presenting #bbcnews
Millwall Paul   @MillwallDocks·Jul 9,"Man arrested after Surbiton hotel and garage stabbings 

What the ⁦@BBCNews⁩ and ⁦@SurreyPolice⁩ conveniently forgot to mention is the ‘man’ is an illegal immigrant living in a free hotel.

You’re welcome…"
Andy George@andygeorgeni·Jul 10,We agree that reforms are not coming quick enough and communities deserve better
Ian Coley@GUP1875·14m,"Ironic - @BBCNews retweeting sick cyclist who is asking for the BBC presenter to ""out"" himself.. when both he, @bbcnews, @BBCWales  and even @thehuwedwards know ..."
GMan (Ґленн) @FAB87F·18h,"11th July 1982:
Sunday 11th July events are summarised here by the BBC News which provides a decent summary of the days events but for more detail please read on.
#F82 #FalklandsWar1982"
